s,x,y,heading
5.06477623,3.05467237,0.36879423,0.66632493
5.07954234,3.06631503,0.37802808,0.67468743
5.09430845,3.07788377,0.38736241,0.68321710
5.10907456,3.08937077,0.39679905,0.69232222
5.12384067,3.10076589,0.40634037,0.70190206
5.13860679,3.11206548,0.41598726,0.71130329
5.15337290,3.12327808,0.42573788,0.72017700
5.16813901,3.13440835,0.43559118,0.72915258
5.18290512,3.14544812,0.44554881,0.73878424
5.19767123,3.15638534,0.45561320,0.74901818
5.21243734,3.16721436,0.46578553,0.75914738
5.22720345,3.17794386,0.47606426,0.76864441
5.24196957,3.18858106,0.48644809,0.77814635
5.25673568,3.19911770,0.49693831,0.78837739
5.27150179,3.20953965,0.50753711,0.79934829
5.28626790,3.21983884,0.51824575,0.81032141
5.30103401,3.23002346,0.52906307,0.82056872
5.31580012,3.24010383,0.53998796,0.83069146
5.33056623,3.25007209,0.55102116,0.84159786
5.34533235,3.25991194,0.56216419,0.85338469
5.36009846,3.26961253,0.57341809,0.86531288
5.37486457,3.27918075,0.58478191,0.87644853
5.38963068,3.28863032,0.59625547,0.88730324
5.40439679,3.29795446,0.60783891,0.89896010
5.41916290,3.30713494,0.61953247,0.91162411
5.43392901,3.31615793,0.63133630,0.92459245
5.44869513,3.32502832,0.64324973,0.93674972
5.46346124,3.33376281,0.65527409,0.94846004
5.47822735,3.34235661,0.66740921,0.96093502
5.49299346,3.35079023,0.67965320,0.97450105
5.50775957,3.35904697,0.69200446,0.98853916
5.52252568,3.36712956,0.70446290,1.00180332
5.53729179,3.37505667,0.71703182,1.01446342
5.55205791,3.38282603,0.72971092,1.02780657
5.56682402,3.39041758,0.74249573,1.04228975
5.58159013,3.39781215,0.75538193,1.05740542
5.59635624,3.40500999,0.76837000,1.07182809
5.61112235,3.41203105,0.78146586,1.08550608
5.62588846,3.41887569,0.79466928,1.09975501
5.64065458,3.42552397,0.80797293,1.11517398
5.65542069,3.43195462,0.82136901,1.13137151
5.67018680,3.43816465,0.83485676,1.14700645
5.68495291,3.44417397,0.84844549,1.16180787
5.69971902,3.44998620,0.86213662,1.17701425
5.71448513,3.45558312,0.87591975,1.19332126
5.72925124,3.46094305,0.88978247,1.21047931
5.74401736,3.46605982,0.90372108,1.22726160
5.75878347,3.47095081,0.91774732,1.24323417
5.77354958,3.47562270,0.93186714,1.25941077
5.78831569,3.48006110,0.94606741,1.27647790
5.80308180,3.48424665,0.96033047,1.29432853
5.81784791,3.48817157,0.97464894,1.31203657
5.83261402,3.49184734,0.98903553,1.32922645
5.84738014,3.49528033,1.00350229,1.34641201
5.86214625,3.49846410,1.01803430,1.36388476
5.87691236,3.50138877,1.03260859,1.38166650
5.89167847,3.50404935,1.04721365,1.39952468
5.90644458,3.50644735,1.06186503,1.41773753
5.92121069,3.50857908,1.07657671,1.43590578
5.93597680,3.51045203,1.09133455,1.45300397
5.95074292,3.51207973,1.10611305,1.46905617
5.96550903,3.51347029,1.12089689,1.48510802
5.98027514,3.51461538,1.13570130,1.50235758
5.99504125,3.51550086,1.15053952,1.51983958
6.00980736,3.51613727,1.16540179,1.53585921
6.02457347,3.51654793,1.18026713,1.55026390
6.03933958,3.51674907,1.19512093,1.56438885
6.05410570,3.51673159,1.20997175,1.57987004
6.06887181,3.51647687,1.22483273,1.59585336
6.08363792,3.51599288,1.23969844,1.61054234
6.09840403,3.51530290,1.25455364,1.62363597
6.11317014,3.51442528,1.26938634,1.63623315
6.12793625,3.51335432,1.28419993,1.65001623
6.14270236,3.51207055,1.29900551,1.66446795
6.15746848,3.51057853,1.31380087,1.67787668
6.17223459,3.50889932,1.32857555,1.68982062
6.18700070,3.50705157,1.34332027,1.70112661
6.20176681,3.50503314,1.35803583,1.71338712
6.21653292,3.50282547,1.37273045,1.72640326
6.23129903,3.50042990,1.38740381,1.73863513
6.24606514,3.49786443,1.40204899,1.74957600
6.26083126,3.49514682,1.41665914,1.75980677
6.27559737,3.49227794,1.43123395,1.77075560
6.29036348,3.48924118,1.44577915,1.78248322
6.30512959,3.48603524,1.46029515,1.79366097
6.31989570,3.48267495,1.47477753,1.80372537
6.33466181,3.47917666,1.48922145,1.81305917
6.34942792,3.47554344,1.50362615,1.82289617
6.36419404,3.47176113,1.51799557,1.83349071
6.37896015,3.46782643,1.53233021,1.84373516
6.39372626,3.46375125,1.54662738,1.85303123
6.40849237,3.45955031,1.56088378,1.86161123
6.42325848,3.45522822,1.57509849,1.87050890
6.43802459,3.45077343,1.58927414,1.88010980
6.45279071,3.44618123,1.60341121,1.88952683
6.46755682,3.44146085,1.61750814,1.89815373
6.48232293,3.43662520,1.63156276,1.90610941
6.49708904,3.43167979,1.64557416,1.91422838
6.51185515,3.42661574,1.65954399,1.92297089
6.52662126,3.42142745,1.67347277,1.93166096
6.54138737,3.41612178,1.68735959,1.93970967
